  0%|          | 0/134 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                      
{'loss': 0.6914, 'grad_norm': 314.8016662597656, 'learning_rate': 1.6666666666666668e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -1592.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.01}
{'loss': 0.7986, 'grad_norm': 60.69223403930664, 'learning_rate': 3.354196701817348e-06, 'rewards/chosen': 1.8515625, 'rewards/rejected': -0.5546875, 'rewards/accuracies': 0.390625, 'rewards/margins': 2.40625, 'logps/chosen': -1424.0, 'logps/rejected': -1280.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.09}
{'loss': 0.7743, 'grad_norm': 144.32171630859375, 'learning_rate': 3.2884602446470054e-06, 'rewards/chosen': 0.9296875, 'rewards/rejected': -2.171875, 'rewards/accuracies': 0.3671875, 'rewards/margins': 3.109375, 'logps/chosen': -1576.0, 'logps/rejected': -1424.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.1}
{'loss': 0.8069, 'grad_norm': 73.2008285522461, 'learning_rate': 3.222232479645907e-06, 'rewards/chosen': 1.6171875, 'rewards/rejected': -1.71875, 'rewards/accuracies': 0.34375, 'rewards/margins': 3.34375, 'logps/chosen': -1680.0, 'logps/rejected': -1488.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.12}
{'loss': 0.7823, 'grad_norm': 60.308624267578125, 'learning_rate': 3.155573835081288e-06, 'rewards/chosen': 3.46875, 'rewards/rejected': 0.24609375, 'rewards/accuracies': 0.37890625, 'rewards/margins': 3.21875, 'logps/chosen': -1632.0, 'logps/rejected': -1552.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.13}
{'loss': 0.8534, 'grad_norm': 67.94196319580078, 'learning_rate': 3.0885451323682624e-06, 'rewards/chosen': 3.9375, 'rewards/rejected': 0.1396484375, 'rewards/accuracies': 0.40234375, 'rewards/margins': 3.796875, 'logps/chosen': -1616.0, 'logps/rejected': -1464.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.15}
{'loss': 0.6559, 'grad_norm': 66.1617202758789, 'learning_rate': 3.021207530574477e-06, 'rewards/chosen': 5.5625, 'rewards/rejected': 1.0390625, 'rewards/accuracies': 0.36328125, 'rewards/margins': 4.53125, 'logps/chosen': -1624.0, 'logps/rejected': -1496.0, 'logits/chosen': nan, 'logits/rejected': -2.546875, 'epoch': 1.16}
{'loss': 0.6885, 'grad_norm': 62.25896072387695, 'learning_rate': 2.9536224706166857e-06, 'rewards/chosen': 5.46875, 'rewards/rejected': 1.5234375, 'rewards/accuracies': 0.375, 'rewards/margins': 3.9375, 'logps/chosen': -1616.0, 'logps/rejected': -1552.0, 'logits/chosen': nan, 'logits/rejected': -2.328125, 'epoch': 1.18}
{'loss': 0.7939, 'grad_norm': 72.94857788085938, 'learning_rate': 2.885851619200144e-06, 'rewards/chosen': 5.09375, 'rewards/rejected': 1.546875, 'rewards/accuracies': 0.359375, 'rewards/margins': 3.546875, 'logps/chosen': -1560.0, 'logps/rejected': -1496.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.19}
{'loss': 0.7023, 'grad_norm': 55.204219818115234, 'learning_rate': 2.8179568125520004e-06, 'rewards/chosen': 3.9375, 'rewards/rejected': 0.2138671875, 'rewards/accuracies': 0.36328125, 'rewards/margins': 3.71875, 'logps/chosen': -1584.0, 'logps/rejected': -1528.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.21}
{'loss': 0.7702, 'grad_norm': 72.385498046875, 'learning_rate': 2.7500000000000004e-06, 'rewards/chosen': 2.921875, 'rewards/rejected': -0.69921875, 'rewards/accuracies': 0.38671875, 'rewards/margins': 3.609375, 'logps/chosen': -1632.0, 'logps/rejected': -1504.0, 'logits/chosen': -2.109375, 'logits/rejected': nan, 'epoch': 1.22}
{'loss': 0.704, 'grad_norm': 83.46983337402344, 'learning_rate': 2.6820431874480008e-06, 'rewards/chosen': 1.8671875, 'rewards/rejected': -0.6953125, 'rewards/accuracies': 0.39453125, 'rewards/margins': 2.5625, 'logps/chosen': -1608.0, 'logps/rejected': -1488.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.24}
{'loss': 0.8008, 'grad_norm': 60.12913513183594, 'learning_rate': 2.6141483807998564e-06, 'rewards/chosen': 2.375, 'rewards/rejected': -0.48046875, 'rewards/accuracies': 0.38671875, 'rewards/margins': 2.859375, 'logps/chosen': -1512.0, 'logps/rejected': -1376.0, 'logits/chosen': -2.15625, 'logits/rejected': nan, 'epoch': 1.25}
{'loss': 0.7832, 'grad_norm': 60.76581573486328, 'learning_rate': 2.5463775293833154e-06, 'rewards/chosen': 3.3125, 'rewards/rejected': 0.55078125, 'rewards/accuracies': 0.3203125, 'rewards/margins': 2.765625, 'logps/chosen': -1744.0, 'logps/rejected': -1528.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.27}
{'loss': 0.7979, 'grad_norm': 63.59844970703125, 'learning_rate': 2.478792469425524e-06, 'rewards/chosen': 3.84375, 'rewards/rejected': 0.33203125, 'rewards/accuracies': 0.3671875, 'rewards/margins': 3.515625, 'logps/chosen': -1592.0, 'logps/rejected': -1416.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.28}
{'loss': 0.6501, 'grad_norm': 74.8353500366211, 'learning_rate': 2.4114548676317383e-06, 'rewards/chosen': 3.78125, 'rewards/rejected': 0.82421875, 'rewards/accuracies': 0.32421875, 'rewards/margins': 2.953125, 'logps/chosen': -1592.0, 'logps/rejected': -1432.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.3}
{'loss': 0.6549, 'grad_norm': 53.96820831298828, 'learning_rate': 2.3444261649187123e-06, 'rewards/chosen': 3.046875, 'rewards/rejected': -0.002838134765625, 'rewards/accuracies': 0.41015625, 'rewards/margins': 3.0625, 'logps/chosen': -1640.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.31}
{'loss': 0.7405, 'grad_norm': 54.522972106933594, 'learning_rate': 2.277767520354093e-06, 'rewards/chosen': 3.015625, 'rewards/rejected': 0.10888671875, 'rewards/accuracies': 0.36328125, 'rewards/margins': 2.90625, 'logps/chosen': -1544.0, 'logps/rejected': -1416.0, 'logits/chosen': -2.109375, 'logits/rejected': nan, 'epoch': 1.33}
{'loss': 0.6893, 'grad_norm': 61.79887771606445, 'learning_rate': 2.211539755352996e-06, 'rewards/chosen': 2.6875, 'rewards/rejected': -0.408203125, 'rewards/accuracies': 0.3515625, 'rewards/margins': 3.09375, 'logps/chosen': -1744.0, 'logps/rejected': -1600.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.34}
  warnings.warn(                                
{'eval_loss': 1.0250957012176514, 'eval_runtime': 2429.9455, 'eval_samples_per_second': 0.999, 'eval_steps_per_second': 0.004, 'eval_rewards/chosen': 1.603906273841858, 'eval_rewards/rejected': 0.29218751192092896, 'eval_rewards/accuracies': 0.3290554881095886, 'eval_rewards/margins': 1.315515160560608, 'eval_logps/chosen': -1446.800048828125, 'eval_logps/rejected': -1236.800048828125, 'eval_logits/chosen': nan, 'eval_logits/rejected': nan, 'epoch': 1.34}
 74%|███████▍  | 99/134 [15:35:26<5:07:54, 527.86s/it]  
{'loss': 0.7525, 'grad_norm': 56.793338775634766, 'learning_rate': 2.1458032981826522e-06, 'rewards/chosen': 2.109375, 'rewards/rejected': -0.6015625, 'rewards/accuracies': 0.375, 'rewards/margins': 2.71875, 'logps/chosen': -1792.0, 'logps/rejected': -1664.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.36}
{'loss': 0.6967, 'grad_norm': 77.64549255371094, 'learning_rate': 2.0806181288257937e-06, 'rewards/chosen': 1.1953125, 'rewards/rejected': -1.3828125, 'rewards/accuracies': 0.32421875, 'rewards/margins': 2.578125, 'logps/chosen': -1632.0, 'logps/rejected': -1536.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.37}
{'loss': 0.7603, 'grad_norm': 120.85094451904297, 'learning_rate': 2.0160437242530444e-06, 'rewards/chosen': 1.4453125, 'rewards/rejected': -0.314453125, 'rewards/accuracies': 0.35546875, 'rewards/margins': 1.7578125, 'logps/chosen': -1736.0, 'logps/rejected': -1472.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.39}
{'loss': 0.9277, 'grad_norm': 80.59435272216797, 'learning_rate': 1.9521390041542946e-06, 'rewards/chosen': 2.625, 'rewards/rejected': -0.23828125, 'rewards/accuracies': 0.359375, 'rewards/margins': 2.859375, 'logps/chosen': -1832.0, 'logps/rejected': -1728.0, 'logits/chosen': -1.703125, 'logits/rejected': nan, 'epoch': 1.4}
{'loss': 0.725, 'grad_norm': 57.382347106933594, 'learning_rate': 1.888962277178548e-06, 'rewards/chosen': 3.78125, 'rewards/rejected': 1.171875, 'rewards/accuracies': 0.36328125, 'rewards/margins': 2.609375, 'logps/chosen': -1728.0, 'logps/rejected': -1576.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.42}
{'loss': 0.6696, 'grad_norm': 57.85000991821289, 'learning_rate': 1.826571187731298e-06, 'rewards/chosen': 5.46875, 'rewards/rejected': 2.796875, 'rewards/accuracies': 0.4140625, 'rewards/margins': 2.671875, 'logps/chosen': -1752.0, 'logps/rejected': -1704.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.43}
{'loss': 0.7555, 'grad_norm': 74.50946807861328, 'learning_rate': 1.7650226633779838e-06, 'rewards/chosen': 5.5625, 'rewards/rejected': 2.015625, 'rewards/accuracies': 0.36328125, 'rewards/margins': 3.53125, 'logps/chosen': -1544.0, 'logps/rejected': -1392.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.45}
{'loss': 0.7997, 'grad_norm': 67.83765411376953, 'learning_rate': 1.704372862901521e-06, 'rewards/chosen': 6.40625, 'rewards/rejected': 2.78125, 'rewards/accuracies': 0.38671875, 'rewards/margins': 3.625, 'logps/chosen': -1840.0, 'logps/rejected': -1768.0, 'logits/chosen': nan, 'logits/rejected': -2.015625, 'epoch': 1.46}
{'loss': 0.8029, 'grad_norm': 63.37211608886719, 'learning_rate': 1.6446771250612767e-06, 'rewards/chosen': 5.96875, 'rewards/rejected': 3.296875, 'rewards/accuracies': 0.3515625, 'rewards/margins': 2.65625, 'logps/chosen': -1792.0, 'logps/rejected': -1648.0, 'logits/chosen': -1.6796875, 'logits/rejected': nan, 'epoch': 1.48}
